"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/29/2023","12/29/2023","12/29/2023","","Interest Payment","INT","","","$11.12"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","STC","12","$1.38","$1,655.59"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","12","$1.25","($1,500.36)"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","STC","30","$1.39","$4,168.99"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","28","$1.36","($3,808.84)"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","1","$1.36","($136.03)"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","1","$1.36","($136.03)"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","STC","1","$1.45","$144.95"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","1","$1.40","($140.03)"
"12/28/2023","12/28/2023","12/28/2023","NVDA","Cash Div: R/D 2023-12-06 P/D 2023-12-28 - 5 shares at 0.04","CDIV","","","$0.20"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","STC","5","$0.90","$449.83"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","STC","1","$0.90","$89.95"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","STC","19","$0.90","$1,709.36"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","STC","5","$0.90","$449.83"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","5","$0.89","($445.15)"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","5","$0.89","($445.15)"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","1","$0.89","($89.03)"
